"Â ","Player (10)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Walker                     Kemba Walker","PG","32","$27,431,078","22.18%","$27,431,078","$27,431,078","$27,431,078","'-"
"2","Green                     JaMychal Green","PF","32","$5,571,403","4.51%","$5,571,403","$5,571,403","$5,571,403","'-"
"3","Nwaba                     David Nwaba","SG","30","$5,022,000","4.06%","$5,022,000","$5,022,000","$5,022,000","'-"
"4","Burke                     Trey Burke","PG","30","$3,423,750","2.77%","$3,423,750","$3,423,750","$3,300,000","'-"
"5","Brown                     Sterling Brown","SG","27","$3,000,000","2.43%","$3,000,000","$3,000,000","$3,000,000","'-"
"6","Chriss                     Marquese Chriss","SF","25","$2,193,920","1.77%","$2,193,920","$2,193,920","$2,193,920","'-"
"7","Jackson                     Justin Jackson","SF","27","$1,836,090","1.48%","$1,836,090","$1,836,090","$723,353","'-"
"8","Singler                     Kyle Singler","SF","34","$999,200","0.81%","$999,200","$999,200","$999,200","'-"
"9","Omoruyi                     Eugene Omoruyi","SF","25","$555,402","0.45%","$555,402","$555,402","$555,402","'-"
"10","Woodard II                     Robert Woodard II","SG","23","$300,000","0.24%","$300,000","$300,000","$300,000","'-"

